X.chrom,start,stop,enhancer,Cerebellum,PrefrontalCortex
chr1,100033961,100040212,chr1_100037086_hg38,362.666666666667,315
chr1,998416,1002844,chr1_1000630_hg38,73.6666666666667,198
chr1,100074811,100076811,chr1_100075811_hg38,13.6666666666667,18.3333333333333
chr1,100076826,100078826,chr1_100077826_hg38,29.3333333333333,26.3333333333333
chr1,100081147,100083147,chr1_100082147_hg38,14.3333333333333,33.3333333333333
chr1,100129458,100134563,chr1_100132010_hg38,217.666666666667,83
chr1,100176918,100178918,chr1_100177918_hg38,2,15.6666666666667
chr1,100187461,100190136,chr1_100188798_hg38,39,54.3333333333333
chr1,100217025,100219149,chr1_100218087_hg38,8.66666666666667,11.3333333333333
chr1,100248089,100251593,chr1_100249841_hg38,249.333333333333,133
chr1,100264808,100267516,chr1_100266162_hg38,386.666666666667,145.666666666667
chr1,100278393,100280393,chr1_100279393_hg38,16,17.6666666666667
chr1,100291350,100294408,chr1_100292879_hg38,8,13
chr1,100322428,100324428,chr1_100323428_hg38,4,7
chr1,10031040,10034802,chr1_10032921_hg38,428.666666666667,198
chr1,100350359,100354246,chr1_100352302_hg38,64,161
chr1,100356794,100360377,chr1_100358585_hg38,12,51
chr1,100360649,100362757,chr1_100361703_hg38,5.33333333333333,39.6666666666667
chr1,100379630,100381630,chr1_100380630_hg38,3.33333333333333,26.3333333333333
chr1,100386707,100388869,chr1_100387788_hg38,4,21
chr1,100393395,100395395,chr1_100394395_hg38,10,17
chr1,100396254,100398261,chr1_100397257_hg38,4.66666666666667,13
chr1,100399018,100402018,chr1_100400518_hg38,3,15.3333333333333
chr1,100414232,100416232,chr1_100415232_hg38,4,13.6666666666667
chr1,100428978,100430978,chr1_100429978_hg38,3.33333333333333,10.6666666666667
chr1,100437907,100442620,chr1_100440263_hg38,5.33333333333333,22
chr1,100442847,100445460,chr1_100444153_hg38,5.33333333333333,20
chr1,100448496,100450496,chr1_100449496_hg38,3.33333333333333,9
chr1,100460305,100462305,chr1_100461305_hg38,5.33333333333333,25.3333333333333
chr1,100463180,100465333,chr1_100464256_hg38,8,33.6666666666667
chr1,10043724,10051262,chr1_10047493_hg38,993.333333333333,146.333333333333
chr1,100477694,100482261,chr1_100479977_hg38,9.66666666666667,18.3333333333333
chr1,100484301,100487428,chr1_100485864_hg38,4.66666666666667,6.66666666666667
chr1,100494102,100496113,chr1_100495107_hg38,3.66666666666667,6.66666666666667
chr1,100514464,100517747,chr1_100516105_hg38,6.66666666666667,11
chr1,100527390,100532790,chr1_100530090_hg38,13.3333333333333,42.3333333333333
chr1,100534194,100537090,chr1_100535642_hg38,7,20.3333333333333
chr1,100538129,100540773,chr1_100539451_hg38,28.3333333333333,97
chr1,10055129,10060706,chr1_10057917_hg38,193,182.333333333333
chr1,1004257,1007343,chr1_1005800_hg38,24.3333333333333,67.6666666666667
chr1,100581680,100586495,chr1_100584087_hg38,8.66666666666667,25.3333333333333
chr1,100613574,100617528,chr1_100615551_hg38,10,10.3333333333333
chr1,100621474,100623667,chr1_100622570_hg38,6.33333333333333,16
chr1,100626448,100630243,chr1_100628345_hg38,8.66666666666667,12.3333333333333
chr1,100642072,100644807,chr1_100643439_hg38,4.66666666666667,6.33333333333333
chr1,100645089,100647888,chr1_100646488_hg38,9.33333333333333,3.66666666666667
chr1,10063394,10067973,chr1_10065683_hg38,79,137
chr1,100706435,100710423,chr1_100708429_hg38,7.33333333333333,22
chr1,100711706,100714979,chr1_100713342_hg38,6,4.66666666666667
chr1,100718653,100724924,chr1_100721788_hg38,11.6666666666667,52.3333333333333
chr1,100725542,100728224,chr1_100726883_hg38,4.66666666666667,11.3333333333333
chr1,100730942,100732942,chr1_100731942_hg38,2.33333333333333,6.33333333333333
chr1,100733303,100736428,chr1_100734865_hg38,6.66666666666667,16
chr1,10073755,10076494,chr1_10075124_hg38,65,154
chr1,100786105,100788105,chr1_100787105_hg38,3,7
chr1,100791183,100793183,chr1_100792183_hg38,5,10
